date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2011-01-01,16.0,40.0,32.0,13.0,1.0,1.0,2.0,3.0,8.0,14.0,36.0,56.0,84.0,94.0,106.0,110.0,93.0,67.0,35.0,37.0,36.0,34.0,28.0,39.0
2011-01-08,25.0,16.0,16.0,7.0,1.0,5.0,2.0,9.0,15.0,20.0,61.0,62.0,98.0,102.0,95.0,74.0,76.0,69.0,55.0,30.0,28.0,37.0,34.0,22.0
2011-01-09,25.0,12.0,11.0,4.0,1.0,1.0,1.0,6.0,10.0,19.0,49.0,49.0,83.0,75.0,72.0,82.0,92.0,62.0,48.0,41.0,38.0,20.0,15.0,6.0
2011-01-10,5.0,1.0,3.0,1.0,3.0,3.0,31.0,77.0,188.0,94.0,31.0,30.0,52.0,54.0,47.0,45.0,74.0,178.0,155.0,95.0,74.0,38.0,24.0,18.0
2011-01-13,7.0,2.0,2.0,3.0,4.0,3.0,28.0,72.0,202.0,139.0,38.0,37.0,52.0,83.0,42.0,60.0,78.0,162.0,144.0,99.0,64.0,40.0,30.0,15.0
2011-01-15,28.0,20.0,12.0,8.0,5.0,1.0,3.0,10.0,23.0,33.0,59.0,72.0,89.0,101.0,118.0,129.0,128.0,83.0,84.0,74.0,41.0,57.0,26.0,44.0
2011-01-16,39.0,23.0,16.0,15.0,1.0,2.0,1.0,3.0,18.0,32.0,79.0,93.0,104.0,118.0,91.0,113.0,99.0,105.0,67.0,61.0,57.0,28.0,21.0,18.0
2011-01-17,17.0,16.0,8.0,2.0,3.0,1.0,5.0,13.0,33.0,47.0,57.0,64.0,80.0,93.0,86.0,93.0,82.0,71.0,92.0,60.0,33.0,27.0,13.0,4.0
2011-02-02,2.0,3.0,4.0,1.0,1.0,3.0,18.0,49.0,155.0,123.0,61.0,52.0,64.0,75.0,63.0,76.0,103.0,190.0,182.0,91.0,75.0,63.0,40.0,32.0
2011-02-05,39.0,18.0,17.0,11.0,8.0,9.0,4.0,4.0,10.0,20.0,34.0,47.0,52.0,72.0,55.0,60.0,71.0,78.0,83.0,84.0,69.0,56.0,45.0,59.0
2011-02-06,39.0,44.0,20.0,13.0,2.0,1.0,1.0,8.0,23.0,45.0,89.0,117.0,174.0,182.0,161.0,182.0,157.0,121.0,78.0,21.0,26.0,27.0,62.0,30.0
2011-02-07,15.0,5.0,3.0,1.0,2.0,10.0,30.0,95.0,230.0,118.0,55.0,47.0,66.0,64.0,60.0,50.0,114.0,216.0,175.0,128.0,88.0,78.0,37.0,25.0
2011-02-08,10.0,4.0,2.0,1.0,3.0,2.0,39.0,100.0,243.0,135.0,48.0,50.0,65.0,50.0,64.0,51.0,83.0,176.0,152.0,101.0,56.0,54.0,29.0,12.0
2011-02-12,30.0,24.0,15.0,10.0,4.0,1.0,2.0,11.0,30.0,43.0,84.0,114.0,120.0,135.0,120.0,174.0,145.0,137.0,64.0,41.0,40.0,51.0,45.0,32.0
2011-02-14,11.0,7.0,2.0,2.0,2.0,3.0,26.0,98.0,256.0,130.0,55.0,53.0,126.0,120.0,90.0,90.0,118.0,243.0,205.0,98.0,70.0,43.0,45.0,20.0
2011-02-17,17.0,6.0,6.0,4.0,4.0,12.0,47.0,126.0,285.0,179.0,88.0,90.0,101.0,123.0,81.0,106.0,146.0,274.0,222.0,175.0,139.0,124.0,76.0,44.0
2011-02-18,32.0,8.0,7.0,8.0,1.0,7.0,50.0,116.0,272.0,169.0,95.0,113.0,185.0,176.0,191.0,172.0,232.0,327.0,224.0,162.0,124.0,72.0,107.0,77.0
2011-02-19,29.0,31.0,17.0,7.0,3.0,3.0,6.0,22.0,45.0,55.0,106.0,123.0,119.0,155.0,196.0,171.0,120.0,127.0,88.0,59.0,47.0,33.0,44.0,29.0
2011-03-01,7.0,3.0,4.0,2.0,1.0,2.0,46.0,107.0,214.0,124.0,68.0,56.0,86.0,78.0,79.0,64.0,102.0,242.0,224.0,119.0,88.0,63.0,47.0,25.0
2011-03-02,8.0,4.0,2.0,4.0,1.0,5.0,40.0,110.0,256.0,148.0,76.0,73.0,82.0,125.0,96.0,110.0,139.0,268.0,201.0,150.0,95.0,71.0,48.0,22.0
2011-03-03,13.0,1.0,3.0,1.0,1.0,8.0,35.0,111.0,220.0,145.0,56.0,50.0,72.0,80.0,78.0,68.0,71.0,202.0,167.0,106.0,70.0,51.0,53.0,23.0
2011-03-04,12.0,4.0,2.0,1.0,1.0,7.0,29.0,83.0,228.0,150.0,66.0,89.0,97.0,87.0,95.0,106.0,118.0,228.0,187.0,107.0,87.0,70.0,44.0,46.0
2011-03-05,19.0,25.0,20.0,2.0,1.0,3.0,4.0,15.0,45.0,63.0,103.0,159.0,167.0,190.0,198.0,205.0,204.0,164.0,152.0,89.0,70.0,72.0,63.0,44.0
2011-03-08,10.0,4.0,1.0,7.0,2.0,10.0,45.0,128.0,257.0,151.0,71.0,78.0,99.0,98.0,72.0,112.0,108.0,248.0,235.0,150.0,76.0,75.0,55.0,41.0
2011-03-09,9.0,4.0,2.0,3.0,2.0,8.0,49.0,141.0,249.0,141.0,57.0,59.0,98.0,99.0,71.0,79.0,112.0,194.0,188.0,134.0,91.0,62.0,21.0,18.0
2011-03-12,34.0,18.0,14.0,7.0,1.0,2.0,4.0,23.0,53.0,101.0,99.0,119.0,158.0,157.0,166.0,182.0,244.0,213.0,145.0,112.0,86.0,82.0,63.0,49.0
2011-03-17,23.0,12.0,8.0,2.0,3.0,13.0,51.0,140.0,299.0,185.0,78.0,86.0,105.0,111.0,119.0,125.0,142.0,313.0,310.0,207.0,137.0,138.0,87.0,50.0
2011-03-19,76.0,51.0,25.0,8.0,3.0,2.0,10.0,13.0,48.0,76.0,140.0,196.0,267.0,301.0,312.0,313.0,304.0,278.0,217.0,154.0,108.0,93.0,72.0,50.0
2011-04-01,6.0,4.0,7.0,4.0,3.0,12.0,28.0,95.0,206.0,173.0,75.0,89.0,95.0,110.0,87.0,111.0,167.0,281.0,241.0,136.0,77.0,93.0,74.0,53.0
2011-04-02,32.0,32.0,21.0,9.0,5.0,5.0,12.0,18.0,55.0,87.0,154.0,198.0,184.0,137.0,190.0,136.0,196.0,184.0,179.0,148.0,85.0,77.0,55.0,53.0
2011-04-03,39.0,34.0,24.0,11.0,3.0,5.0,33.0,33.0,62.0,142.0,215.0,243.0,313.0,367.0,349.0,292.0,303.0,274.0,172.0,144.0,79.0,45.0,36.0,31.0
2011-04-04,6.0,11.0,2.0,1.0,2.0,7.0,46.0,157.0,339.0,158.0,90.0,124.0,157.0,139.0,123.0,143.0,189.0,366.0,386.0,278.0,173.0,95.0,75.0,48.0
2011-04-05,22.0,15.0,5.0,4.0,2.0,5.0,38.0,134.0,157.0,46.0,28.0,19.0,38.0,56.0,76.0,68.0,130.0,273.0,267.0,160.0,91.0,89.0,46.0,26.0
2011-04-06,15.0,2.0,5.0,4.0,1.0,13.0,56.0,133.0,325.0,165.0,69.0,93.0,134.0,112.0,115.0,117.0,169.0,356.0,325.0,232.0,141.0,102.0,84.0,40.0
2011-04-07,20.0,13.0,7.0,3.0,1.0,6.0,64.0,160.0,314.0,170.0,95.0,122.0,153.0,135.0,157.0,160.0,213.0,343.0,333.0,226.0,203.0,108.0,81.0,54.0
2011-04-08,25.0,9.0,13.0,1.0,1.0,9.0,35.0,113.0,221.0,185.0,73.0,98.0,80.0,42.0,15.0,25.0,60.0,148.0,62.0,53.0,63.0,54.0,51.0,35.0
2011-04-09,31.0,20.0,17.0,14.0,3.0,5.0,13.0,21.0,54.0,98.0,133.0,142.0,202.0,222.0,212.0,201.0,191.0,257.0,177.0,130.0,93.0,75.0,87.0,57.0
2011-04-10,53.0,37.0,36.0,16.0,5.0,4.0,4.0,10.0,55.0,81.0,150.0,202.0,230.0,263.0,281.0,297.0,288.0,236.0,240.0,131.0,92.0,95.0,57.0,32.0
2011-04-12,24.0,13.0,14.0,1.0,6.0,16.0,58.0,189.0,226.0,54.0,40.0,49.0,92.0,106.0,44.0,78.0,99.0,291.0,224.0,130.0,103.0,84.0,54.0,39.0
2011-04-13,15.0,1.0,2.0,2.0,3.0,5.0,34.0,70.0,164.0,65.0,46.0,61.0,95.0,61.0,106.0,81.0,142.0,309.0,321.0,175.0,126.0,117.0,99.0,62.0
2011-04-14,21.0,10.0,3.0,2.0,9.0,14.0,70.0,193.0,337.0,170.0,89.0,115.0,145.0,159.0,137.0,142.0,202.0,388.0,337.0,259.0,169.0,145.0,104.0,47.0
2011-04-15,27.0,15.0,18.0,3.0,3.0,13.0,47.0,149.0,300.0,178.0,122.0,136.0,200.0,180.0,163.0,162.0,243.0,331.0,263.0,209.0,118.0,102.0,80.0,64.0
2011-04-16,43.0,33.0,24.0,14.0,5.0,4.0,10.0,21.0,45.0,29.0,22.0,31.0,32.0,58.0,63.0,78.0,33.0,15.0,38.0,71.0,53.0,14.0,24.0,35.0
2011-04-17,33.0,31.0,29.0,25.0,7.0,3.0,8.0,16.0,43.0,102.0,211.0,304.0,354.0,343.0,361.0,388.0,343.0,306.0,277.0,210.0,141.0,83.0,70.0,56.0
2011-04-18,39.0,19.0,16.0,7.0,6.0,16.0,54.0,168.0,297.0,169.0,109.0,123.0,184.0,169.0,144.0,176.0,205.0,428.0,362.0,286.0,165.0,151.0,90.0,46.0
2011-04-19,25.0,7.0,13.0,3.0,5.0,18.0,65.0,188.0,351.0,162.0,75.0,72.0,103.0,129.0,107.0,127.0,192.0,411.0,421.0,276.0,168.0,122.0,112.0,52.0
2011-05-01,96.0,59.0,50.0,23.0,17.0,10.0,13.0,33.0,59.0,141.0,264.0,250.0,281.0,332.0,238.0,266.0,214.0,196.0,159.0,178.0,121.0,105.0,100.0,146.0
2011-05-02,177.0,114.0,35.0,16.0,17.0,20.0,62.0,209.0,371.0,172.0,108.0,130.0,187.0,170.0,181.0,155.0,269.0,537.0,518.0,314.0,218.0,232.0,125.0,64.0
2011-05-03,16.0,14.0,5.0,2.0,4.0,14.0,109.0,265.0,459.0,186.0,127.0,140.0,217.0,194.0,158.0,154.0,271.0,517.0,544.0,365.0,290.0,225.0,113.0,62.0
2011-05-04,27.0,7.0,4.0,1.0,3.0,9.0,21.0,52.0,79.0,40.0,31.0,72.0,124.0,143.0,107.0,129.0,195.0,410.0,396.0,296.0,191.0,150.0,89.0,57.0
